,TL,TM,TR,ML,MM,MR,BL,BM,BR,OUTCOME,TL_BR
535,b,o,x,o,x,x,x,b,o,positive,bo
536,b,o,x,o,x,x,o,b,x,positive,bx
537,b,o,x,o,x,x,b,o,x,positive,bx
538,b,o,x,o,x,o,x,x,b,positive,bb
539,b,o,x,o,x,o,x,b,x,positive,bx
540,b,o,x,o,x,b,x,x,o,positive,bo
541,b,o,x,o,x,b,x,o,x,positive,bx
542,b,o,x,o,x,b,x,b,b,positive,bb
543,b,o,x,o,o,x,x,b,x,positive,bx
544,b,o,x,o,o,x,b,x,x,positive,bx
545,b,o,x,o,o,b,x,x,x,positive,bx
546,b,o,x,o,b,x,x,o,x,positive,bx
547,b,o,x,o,b,x,o,x,x,positive,bx
548,b,o,x,o,b,x,b,b,x,positive,bx
549,b,o,x,o,b,o,x,x,x,positive,bx
550,b,o,x,b,x,x,x,o,o,positive,bo
551,b,o,x,b,x,x,o,o,x,positive,bx
552,b,o,x,b,x,o,x,x,o,positive,bo
553,b,o,x,b,x,o,x,o,x,positive,bx
554,b,o,x,b,x,o,x,b,b,positive,bb
555,b,o,x,b,x,b,x,o,b,positive,bb
556,b,o,x,b,x,b,x,b,o,positive,bo
557,b,o,x,b,o,x,o,x,x,positive,bx
558,b,o,x,b,o,x,b,b,x,positive,bx
559,b,o,x,b,o,o,x,x,x,positive,bx
560,b,o,x,b,b,x,o,b,x,positive,bx
561,b,o,x,b,b,x,b,o,x,positive,bx
562,b,o,o,x,x,x,x,o,b,positive,bb
563,b,o,o,x,x,x,x,b,o,positive,bo
564,b,o,o,x,x,x,o,x,b,positive,bb
565,b,o,o,x,x,x,o,b,x,positive,bx
566,b,o,o,x,x,x,b,x,o,positive,bo
567,b,o,o,x,x,x,b,o,x,positive,bx
568,b,o,o,x,x,x,b,b,b,positive,bb
569,b,o,o,x,o,b,x,x,x,positive,bx
570,b,o,o,x,b,o,x,x,x,positive,bx
571,b,o,o,o,x,b,x,x,x,positive,bx
572,b,o,o,o,b,x,x,x,x,positive,bx
573,b,o,o,b,x,o,x,x,x,positive,bx
574,b,o,o,b,o,x,x,x,x,positive,bx
575,b,o,o,b,b,b,x,x,x,positive,bx
576,b,o,b,x,x,x,x,o,o,positive,bo
577,b,o,b,x,x,x,o,x,o,positive,bo
578,b,o,b,x,x,x,o,o,x,positive,bx
579,b,o,b,x,x,x,o,b,b,positive,bb
580,b,o,b,x,x,x,b,o,b,positive,bb
581,b,o,b,x,x,x,b,b,o,positive,bo
582,b,o,b,x,o,o,x,x,x,positive,bx
583,b,o,b,o,x,o,x,x,x,positive,bx
584,b,o,b,o,o,x,x,x,x,positive,bx
585,b,o,b,o,b,b,x,x,x,positive,bx
586,b,o,b,b,o,b,x,x,x,positive,bx
587,b,o,b,b,b,o,x,x,x,positive,bx
588,b,b,x,x,x,o,x,o,o,positive,bo
589,b,b,x,x,o,x,o,o,x,positive,bx
590,b,b,x,o,x,x,x,o,o,positive,bo
591,b,b,x,o,x,x,o,o,x,positive,bx
592,b,b,x,o,x,o,x,x,o,positive,bo
593,b,b,x,o,x,o,x,o,x,positive,bx
594,b,b,x,o,x,o,x,b,b,positive,bb
595,b,b,x,o,x,b,x,o,b,positive,bb
596,b,b,x,o,x,b,x,b,o,positive,bo
597,b,b,x,o,o,x,x,o,x,positive,bx
598,b,b,x,o,o,x,o,x,x,positive,bx
599,b,b,x,o,o,x,b,b,x,positive,bx
600,b,b,x,o,b,x,o,b,x,positive,bx
601,b,b,x,o,b,x,b,o,x,positive,bx
602,b,b,x,b,x,o,x,o,b,positive,bb
603,b,b,x,b,x,o,x,b,o,positive,bo
604,b,b,x,b,x,b,x,o,o,positive,bo
605,b,b,x,b,o,x,o,b,x,positive,bx
606,b,b,x,b,o,x,b,o,x,positive,bx
607,b,b,x,b,b,x,o,o,x,positive,bx
608,b,b,o,x,x,x,x,o,o,positive,bo
609,b,b,o,x,x,x,o,x,o,positive,bo
610,b,b,o,x,x,x,o,o,x,positive,bx
611,b,b,o,x,x,x,o,b,b,positive,bb
612,b,b,o,x,x,x,b,o,b,positive,bb
613,b,b,o,x,x,x,b,b,o,positive,bo
614,b,b,o,x,o,o,x,x,x,positive,bx
615,b,b,o,o,x,o,x,x,x,positive,bx
616,b,b,o,o,o,x,x,x,x,positive,bx
617,b,b,o,o,b,b,x,x,x,positive,bx
618,b,b,o,b,o,b,x,x,x,positive,bx
619,b,b,o,b,b,o,x,x,x,positive,bx
620,b,b,b,x,x,x,o,o,b,positive,bb
621,b,b,b,x,x,x,o,b,o,positive,bo
622,b,b,b,x,x,x,b,o,o,positive,bo
623,b,b,b,o,o,b,x,x,x,positive,bx
624,b,b,b,o,b,o,x,x,x,positive,bx
625,b,b,b,b,o,o,x,x,x,positive,bx
626,x,x,o,x,x,o,o,b,o,negative,xo
627,x,x,o,x,x,o,b,o,o,negative,xo
628,x,x,o,x,x,b,o,o,o,negative,xo
629,x,x,o,x,o,x,o,o,b,negative,xb
630,x,x,o,x,o,x,o,b,o,negative,xo
631,x,x,o,x,o,o,o,x,b,negative,xb
632,x,x,o,x,o,o,o,b,x,negative,xx
633,x,x,o,x,o,o,b,x,o,negative,xo
634,x,x,o,x,o,b,o,x,o,negative,xo
635,x,x,o,x,o,b,o,o,x,negative,xx
636,x,x,o,x,o,b,o,b,b,negative,xb
637,x,x,o,x,b,x,o,o,o,negative,xo
638,x,x,o,x,b,o,o,x,o,negative,xo
639,x,x,o,x,b,o,b,b,o,negative,xo
640,x,x,o,o,x,o,x,b,o,negative,xo
641,x,x,o,o,o,x,o,x,b,negative,xb
642,x,x,o,o,o,x,o,b,x,negative,xx
643,x,x,o,o,o,o,x,x,b,negative,xb
644,x,x,o,o,o,o,x,b,x,negative,xx
645,x,x,o,o,o,o,b,x,x,negative,xx
646,x,x,o,o,o,b,o,x,x,negative,xx
647,x,x,o,o,b,o,x,x,o,negative,xo
648,x,x,o,b,x,x,o,o,o,negative,xo
649,x,x,o,b,x,o,x,o,o,negative,xo
650,x,x,o,b,x,o,b,b,o,negative,xo
651,x,x,o,b,o,x,o,x,o,negative,xo
652,x,x,o,b,o,x,o,o,x,negative,xx
653,x,x,o,b,o,x,o,b,b,negative,xb
654,x,x,o,b,o,o,x,x,o,negative,xo
655,x,x,o,b,o,o,o,x,x,negative,xx
656,x,x,o,b,o,b,o,x,b,negative,xb
657,x,x,o,b,o,b,o,b,x,negative,xx
658,x,x,o,b,b,o,x,b,o,negative,xo
659,x,x,o,b,b,o,b,x,o,negative,xo
660,x,x,b,x,x,o,o,o,o,negative,xo
661,x,x,b,x,o,x,o,o,o,negative,xo
662,x,x,b,x,b,b,o,o,o,negative,xo
663,x,x,b,o,x,x,o,o,o,negative,xo
664,x,x,b,o,o,o,x,x,o,negative,xo
665,x,x,b,o,o,o,x,o,x,negative,xx
666,x,x,b,o,o,o,x,b,b,negative,xb
667,x,x,b,o,o,o,o,x,x,negative,xx
668,x,x,b,o,o,o,b,x,b,negative,xb
669,x,x,b,o,o,o,b,b,x,negative,xx
670,x,x,b,b,x,b,o,o,o,negative,xo
671,x,x,b,b,b,x,o,o,o,negative,xo
672,x,o,x,x,x,b,o,o,o,negative,xo
673,x,o,x,x,o,x,o,o,b,negative,xb
674,x,o,x,x,o,x,b,o,o,negative,xo
675,x,o,x,x,o,o,b,o,x,negative,xx
676,x,o,x,x,o,b,o,o,x,negative,xx
677,x,o,x,x,o,b,b,o,b,negative,xb
678,x,o,x,x,b,x,o,o,o,negative,xo
679,x,o,x,o,o,x,x,o,b,negative,xb
680,x,o,x,o,o,o,x,x,b,negative,xb
681,x,o,x,o,o,o,x,b,x,negative,xx
682,x,o,x,o,o,o,b,x,x,negative,xx
683,x,o,x,o,o,b,x,o,x,negative,xx
684,x,o,x,b,x,x,o,o,o,negative,xo
685,x,o,x,b,o,x,x,o,o,negative,xo
686,x,o,x,b,o,x,b,o,b,negative,xb
687,x,o,x,b,o,o,x,o,x,negative,xx
688,x,o,x,b,o,b,x,o,b,negative,xb
689,x,o,x,b,o,b,b,o,x,negative,xx
690,x,o,o,x,x,o,b,x,o,negative,xo
691,x,o,o,x,o,x,o,x,b,negative,xb
692,x,o,o,x,o,x,o,b,x,negative,xx
693,x,o,o,x,o,x,b,o,x,negative,xx
694,x,o,o,x,o,b,o,x,x,negative,xx
695,x,o,o,b,x,o,x,x,o,negative,xo
696,x,o,o,b,o,x,x,o,x,negative,xx
697,x,o,o,b,o,x,o,x,x,negative,xx
698,x,o,b,x,o,x,o,o,x,negative,xx
699,x,o,b,x,o,x,b,o,b,negative,xb
700,x,o,b,x,o,b,b,o,x,negative,xx
701,x,o,b,o,o,x,x,o,x,negative,xx
702,x,o,b,b,o,x,x,o,b,negative,xb
703,x,o,b,b,o,x,b,o,x,negative,xx
704,x,o,b,b,o,b,x,o,x,negative,xx
705,x,b,x,x,x,o,o,o,o,negative,xo
706,x,b,x,x,o,x,o,o,o,negative,xo
707,x,b,x,x,b,b,o,o,o,negative,xo
708,x,b,x,o,x,x,o,o,o,negative,xo
709,x,b,x,o,o,o,x,x,o,negative,xo
710,x,b,x,o,o,o,x,o,x,negative,xx
711,x,b,x,o,o,o,x,b,b,negative,xb
712,x,b,x,o,o,o,o,x,x,negative,xx
713,x,b,x,o,o,o,b,x,b,negative,xb
714,x,b,x,o,o,o,b,b,x,negative,xx
715,x,b,x,b,x,b,o,o,o,negative,xo
716,x,b,x,b,b,x,o,o,o,negative,xo
717,x,b,o,x,x,o,o,x,o,negative,xo
718,x,b,o,x,x,o,b,b,o,negative,xo
719,x,b,o,x,o,x,o,x,o,negative,xo
720,x,b,o,x,o,x,o,o,x,negative,xx
721,x,b,o,x,o,x,o,b,b,negative,xb
722,x,b,o,x,o,o,o,x,x,negative,xx
723,x,b,o,x,o,b,o,x,b,negative,xb
724,x,b,o,x,o,b,o,b,x,negative,xx
725,x,b,o,x,b,o,b,x,o,negative,xo
726,x,b,o,o,x,o,x,x,o,negative,xo
727,x,b,o,o,o,x,o,x,x,negative,xx
728,x,b,o,b,x,o,x,b,o,negative,xo
729,x,b,o,b,x,o,b,x,o,negative,xo
730,x,b,o,b,o,x,o,x,b,negative,xb
731,x,b,o,b,o,x,o,b,x,negative,xx
732,x,b,o,b,o,b,o,x,x,negative,xx
733,x,b,o,b,b,o,x,x,o,negative,xo
734,x,b,b,x,x,b,o,o,o,negative,xo
735,x,b,b,x,b,x,o,o,o,negative,xo
736,x,b,b,o,o,o,x,x,b,negative,xb
737,x,b,b,o,o,o,x,b,x,negative,xx
738,x,b,b,o,o,o,b,x,x,negative,xx
739,x,b,b,b,x,x,o,o,o,negative,xo
740,o,x,x,x,x,b,o,o,o,negative,oo
741,o,x,x,x,o,x,o,b,o,negative,oo
742,o,x,x,x,o,x,b,o,o,negative,oo
743,o,x,x,x,o,o,x,b,o,negative,oo
744,o,x,x,x,o,o,b,x,o,negative,oo
745,o,x,x,x,o,b,x,o,o,negative,oo
746,o,x,x,x,o,b,o,x,o,negative,oo
747,o,x,x,x,o,b,b,b,o,negative,oo
748,o,x,x,x,b,x,o,o,o,negative,oo
749,o,x,x,o,x,x,o,o,b,negative,ob
750,o,x,x,o,x,x,o,b,o,negative,oo
751,o,x,x,o,x,o,o,b,x,negative,ox
752,o,x,x,o,x,b,o,o,x,negative,ox
753,o,x,x,o,x,b,o,b,b,negative,ob
754,o,x,x,o,o,x,x,b,o,negative,oo
755,o,x,x,o,o,x,o,x,b,negative,ob
756,o,x,x,o,o,x,b,x,o,negative,oo
757,o,x,x,o,o,o,x,x,b,negative,ob
758,o,x,x,o,o,o,x,b,x,negative,ox
759,o,x,x,o,o,o,b,x,x,negative,ox
760,o,x,x,o,o,b,x,x,o,negative,oo
761,o,x,x,o,o,b,o,x,x,negative,ox
762,o,x,x,o,b,x,o,x,o,negative,oo
763,o,x,x,o,b,x,o,b,b,negative,ob
764,o,x,x,o,b,o,o,x,x,negative,ox
765,o,x,x,o,b,b,o,x,b,negative,ob
766,o,x,x,o,b,b,o,b,x,negative,ox
767,o,x,x,b,x,x,o,o,o,negative,oo
768,o,x,x,b,o,x,x,o,o,negative,oo
769,o,x,x,b,o,x,o,x,o,negative,oo
770,o,x,x,b,o,x,b,b,o,negative,oo
771,o,x,x,b,o,o,x,x,o,negative,oo
772,o,x,x,b,o,b,x,b,o,negative,oo
773,o,x,x,b,o,b,b,x,o,negative,oo
774,o,x,o,x,x,o,x,b,o,negative,oo
775,o,x,o,x,o,x,x,b,o,negative,oo
776,o,x,o,x,o,x,o,x,b,negative,ob
777,o,x,o,x,o,x,o,b,x,negative,ox
778,o,x,o,x,o,x,b,x,o,negative,oo
779,o,x,o,x,o,b,x,x,o,negative,oo
780,o,x,o,x,o,b,o,x,x,negative,ox
781,o,x,o,x,b,o,x,x,o,negative,oo
782,o,x,o,o,x,x,o,b,x,negative,ox
783,o,x,o,o,b,x,o,x,x,negative,ox
784,o,x,o,b,o,x,x,x,o,negative,oo
785,o,x,o,b,o,x,o,x,x,negative,ox
786,o,x,b,x,o,x,x,o,o,negative,oo
787,o,x,b,x,o,x,o,x,o,negative,oo
788,o,x,b,x,o,x,b,b,o,negative,oo
789,o,x,b,x,o,o,x,x,o,negative,oo
790,o,x,b,x,o,b,x,b,o,negative,oo
791,o,x,b,x,o,b,b,x,o,negative,oo
792,o,x,b,o,x,x,o,o,x,negative,ox
793,o,x,b,o,x,x,o,b,b,negative,ob
794,o,x,b,o,x,b,o,b,x,negative,ox
795,o,x,b,o,o,x,x,x,o,negative,oo
796,o,x,b,o,o,x,o,x,x,negative,ox
797,o,x,b,o,b,x,o,x,b,negative,ob
798,o,x,b,o,b,x,o,b,x,negative,ox
799,o,x,b,o,b,b,o,x,x,negative,ox
800,o,x,b,b,o,x,x,b,o,negative,oo
801,o,x,b,b,o,x,b,x,o,negative,oo
802,o,x,b,b,o,b,x,x,o,negative,oo
803,o,o,x,x,o,x,x,o,b,negative,ob
804,o,o,x,x,o,x,x,b,o,negative,oo
805,o,o,x,x,o,x,b,x,o,negative,oo
806,o,o,x,x,o,b,x,x,o,negative,oo
807,o,o,x,x,o,b,x,o,x,negative,ox
808,o,o,x,o,x,x,o,x,b,negative,ob
809,o,o,x,o,x,b,o,x,x,negative,ox
810,o,o,x,b,o,x,x,x,o,negative,oo
811,o,o,o,x,x,o,x,x,b,negative,ob
812,o,o,o,x,x,o,x,b,x,negative,ox
813,o,o,o,x,x,o,b,x,x,negative,ox
814,o,o,o,x,x,b,x,x,o,negative,oo
815,o,o,o,x,x,b,x,o,x,negative,ox
816,o,o,o,x,x,b,x,b,b,negative,ob
817,o,o,o,x,x,b,o,x,x,negative,ox
818,o,o,o,x,x,b,b,x,b,negative,ob
819,o,o,o,x,x,b,b,b,x,negative,ox
820,o,o,o,x,o,x,x,x,b,negative,ob
821,o,o,o,x,o,x,x,b,x,negative,ox
822,o,o,o,x,o,x,b,x,x,negative,ox
823,o,o,o,x,b,x,x,x,o,negative,oo
824,o,o,o,x,b,x,x,o,x,negative,ox
825,o,o,o,x,b,x,x,b,b,negative,ob
826,o,o,o,x,b,x,o,x,x,negative,ox
827,o,o,o,x,b,x,b,x,b,negative,ob
828,o,o,o,x,b,x,b,b,x,negative,ox
829,o,o,o,x,b,b,x,x,b,negative,ob
830,o,o,o,x,b,b,x,b,x,negative,ox
831,o,o,o,x,b,b,b,x,x,negative,ox
832,o,o,o,o,x,x,x,x,b,negative,ob
833,o,o,o,o,x,x,x,b,x,negative,ox
834,o,o,o,o,x,x,b,x,x,negative,ox
835,o,o,o,b,x,x,x,x,o,negative,oo
836,o,o,o,b,x,x,x,o,x,negative,ox
837,o,o,o,b,x,x,x,b,b,negative,ob
838,o,o,o,b,x,x,o,x,x,negative,ox
839,o,o,o,b,x,x,b,x,b,negative,ob
840,o,o,o,b,x,x,b,b,x,negative,ox
841,o,o,o,b,x,b,x,x,b,negative,ob
842,o,o,o,b,x,b,x,b,x,negative,ox
843,o,o,o,b,x,b,b,x,x,negative,ox
844,o,o,o,b,b,x,x,x,b,negative,ob
845,o,o,o,b,b,x,x,b,x,negative,ox
846,o,o,o,b,b,x,b,x,x,negative,ox
847,o,o,b,x,o,x,x,x,o,negative,oo
848,o,o,b,x,o,x,x,o,x,negative,ox
849,o,o,b,o,x,x,o,x,x,negative,ox
850,o,b,x,x,o,x,x,o,o,negative,oo
851,o,b,x,x,o,x,o,x,o,negative,oo
852,o,b,x,x,o,x,b,b,o,negative,oo
853,o,b,x,x,o,o,x,x,o,negative,oo
854,o,b,x,x,o,b,x,b,o,negative,oo
855,o,b,x,x,o,b,b,x,o,negative,oo
856,o,b,x,o,x,x,o,x,o,negative,oo
857,o,b,x,o,x,x,o,b,b,negative,ob
858,o,b,x,o,x,o,o,x,x,negative,ox
859,o,b,x,o,x,b,o,x,b,negative,ob
860,o,b,x,o,x,b,o,b,x,negative,ox
861,o,b,x,o,o,x,x,x,o,negative,oo
862,o,b,x,o,b,x,o,x,b,negative,ob
863,o,b,x,o,b,b,o,x,x,negative,ox
864,o,b,x,b,o,x,x,b,o,negative,oo
865,o,b,x,b,o,x,b,x,o,negative,oo
866,o,b,x,b,o,b,x,x,o,negative,oo
867,o,b,o,x,x,o,x,x,o,negative,oo
868,o,b,o,x,o,x,x,x,o,negative,oo
869,o,b,o,x,o,x,o,x,x,negative,ox
870,o,b,o,o,x,x,o,x,x,negative,ox
871,o,b,b,x,o,x,x,b,o,negative,oo
872,o,b,b,x,o,x,b,x,o,negative,oo
873,o,b,b,x,o,b,x,x,o,negative,oo
874,o,b,b,o,x,x,o,x,b,negative,ob
875,o,b,b,o,x,x,o,b,x,negative,ox
876,o,b,b,o,x,b,o,x,x,negative,ox
877,o,b,b,o,b,x,o,x,x,negative,ox
878,o,b,b,b,o,x,x,x,o,negative,oo
879,b,x,x,x,x,o,o,o,o,negative,bo
880,b,x,x,x,o,x,o,o,o,negative,bo
881,b,x,x,x,b,b,o,o,o,negative,bo
882,b,x,x,o,x,x,o,o,o,negative,bo
883,b,x,x,o,o,o,x,x,o,negative,bo
884,b,x,x,o,o,o,x,o,x,negative,bx
885,b,x,x,o,o,o,x,b,b,negative,bb
886,b,x,x,o,o,o,o,x,x,negative,bx
887,b,x,x,o,o,o,b,x,b,negative,bb
888,b,x,x,o,o,o,b,b,x,negative,bx
889,b,x,x,b,x,b,o,o,o,negative,bo
890,b,x,x,b,b,x,o,o,o,negative,bo
891,b,x,o,x,x,o,x,o,o,negative,bo
892,b,x,o,x,x,o,b,b,o,negative,bo
893,b,x,o,x,o,x,o,x,o,negative,bo
894,b,x,o,x,o,x,o,o,x,negative,bx
895,b,x,o,x,o,x,o,b,b,negative,bb
896,b,x,o,x,o,o,x,x,o,negative,bo
897,b,x,o,x,o,o,o,x,x,negative,bx
898,b,x,o,x,o,b,o,x,b,negative,bb
899,b,x,o,x,o,b,o,b,x,negative,bx
900,b,x,o,x,b,o,x,b,o,negative,bo
901,b,x,o,x,b,o,b,x,o,negative,bo
902,b,x,o,o,o,x,o,x,x,negative,bx
903,b,x,o,b,x,o,x,b,o,negative,bo
904,b,x,o,b,o,x,o,x,b,negative,bb
905,b,x,o,b,o,x,o,b,x,negative,bx
906,b,x,o,b,o,b,o,x,x,negative,bx
907,b,x,o,b,b,o,x,x,o,negative,bo
908,b,x,b,x,x,b,o,o,o,negative,bo
909,b,x,b,x,b,x,o,o,o,negative,bo
910,b,x,b,o,o,o,x,x,b,negative,bb
911,b,x,b,o,o,o,x,b,x,negative,bx
912,b,x,b,o,o,o,b,x,x,negative,bx
913,b,x,b,b,x,x,o,o,o,negative,bo
914,b,o,x,x,o,x,x,o,o,negative,bo
915,b,o,x,x,o,x,b,o,b,negative,bb
916,b,o,x,x,o,o,x,o,x,negative,bx
917,b,o,x,x,o,b,x,o,b,negative,bb
918,b,o,x,x,o,b,b,o,x,negative,bx
919,b,o,x,b,o,x,x,o,b,negative,bb
920,b,o,x,b,o,b,x,o,x,negative,bx
921,b,o,o,x,x,o,x,x,o,negative,bo
922,b,o,o,x,o,x,x,o,x,negative,bx
923,b,o,o,x,o,x,o,x,x,negative,bx
924,b,o,b,x,o,x,x,o,b,negative,bb
925,b,o,b,x,o,x,b,o,x,negative,bx
926,b,o,b,x,o,b,x,o,x,negative,bx
927,b,o,b,b,o,x,x,o,x,negative,bx
928,b,b,x,x,x,b,o,o,o,negative,bo
929,b,b,x,x,b,x,o,o,o,negative,bo
930,b,b,x,o,o,o,x,x,b,negative,bb
931,b,b,x,o,o,o,x,b,x,negative,bx
932,b,b,x,o,o,o,b,x,x,negative,bx
933,b,b,x,b,x,x,o,o,o,negative,bo
934,b,b,o,x,x,o,x,b,o,negative,bo
935,b,b,o,x,x,o,b,x,o,negative,bo
936,b,b,o,x,o,x,o,x,b,negative,bb
937,b,b,o,x,o,x,o,b,x,negative,bx
938,b,b,o,x,o,b,o,x,x,negative,bx
939,b,b,o,x,b,o,x,x,o,negative,bo
940,b,b,o,b,x,o,x,x,o,negative,bo
941,b,b,o,b,o,x,o,x,x,negative,bx
942,x,x,o,o,x,x,x,o,o,negative,xo
943,x,x,o,o,o,x,x,x,o,negative,xo
944,x,x,o,o,o,x,x,o,x,negative,xx
945,x,o,x,x,x,o,o,x,o,negative,xo
946,x,o,x,x,o,x,o,x,o,negative,xo
947,x,o,x,x,o,o,o,x,x,negative,xx
948,x,o,x,o,x,x,o,x,o,negative,xo
949,x,o,x,o,o,x,x,x,o,negative,xo
950,x,o,o,o,x,x,x,x,o,negative,xo
951,o,x,x,x,x,o,o,o,x,negative,ox
952,o,x,x,x,o,o,x,o,x,negative,ox
953,o,x,x,x,o,o,o,x,x,negative,ox
954,o,x,o,x,x,o,x,o,x,negative,ox
955,o,x,o,x,o,x,x,o,x,negative,ox
956,o,x,o,o,x,x,x,o,x,negative,ox
957,o,o,x,x,x,o,o,x,x,negative,ox
